layer,tree_guid,parent_tree_guid,children_count,node_object_guid,node_object_id,node_structure_element_guid,node_structure_element_name,object_structure_element_guid,object_structure_element_name,resolved_structure_element_name
0,c17ceeff-f0b5-4b96-bf5e-ee2e6c26a897,00000000-0000-0000-0000-000000000000,1,1b914359-6d31-408c-96b4-963a1b074436,Mechafin - eShop - New,8232a37e-6364-4bcc-8a04-73cac8bc59a9,,,Hauptebene,Hauptebene
1,1313276b-4e8a-4c11-b8d0-d7278fa37f82,c17ceeff-f0b5-4b96-bf5e-ee2e6c26a897,8,0e4d39de-92d5-4be1-b5ab-25f8d93846a7,1000,522d51e6-5821-4ed3-a587-df5e462a8f02,,,Register Publikation,Register Publikation
2,14d1f4d5-de53-4864-a1f7-ad220a7f9140,1313276b-4e8a-4c11-b8d0-d7278fa37f82,2,51960219-f634-45d6-98dd-0de03aa6a610,02,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,e56fdc09-05c1-4184-902b-b2d476eb2683,1313276b-4e8a-4c11-b8d0-d7278fa37f82,3,8fa5148d-2537-48b8-a177-0de30426044a,01,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,889eabfb-3647-485f-b6e9-44f1bf30489c,1313276b-4e8a-4c11-b8d0-d7278fa37f82,42,6c52394a-4a02-408a-8a4e-2f5f05f38b3c,00,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,85aafdce-e107-4164-932c-d01b87a96020,1313276b-4e8a-4c11-b8d0-d7278fa37f82,63,b962dfda-5977-4994-99ed-5441cacce976,04,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,85455886-0c41-41ba-a45c-20b076c76e23,1313276b-4e8a-4c11-b8d0-d7278fa37f82,2,02ec706b-7d18-42ed-86f0-8c0adaf5bdc9,06,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,9832e201-ca3f-41da-8aa4-cbe972a53101,1313276b-4e8a-4c11-b8d0-d7278fa37f82,3,0f228044-054a-4cd5-bc02-94dcbf866057,05,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,2d3af5b9-eee6-4fac-b5a8-6ff09125cbde,1313276b-4e8a-4c11-b8d0-d7278fa37f82,359,3755d2b5-27f6-4533-a8aa-9c2e845cec42,D-03,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
2,40448295-e45a-428e-b83e-73a557967f79,1313276b-4e8a-4c11-b8d0-d7278fa37f82,3,c5bb32a4-86f2-43a6-8182-dfc506cdbc83,07,28ece8be-cb27-46a7-ad20-4e095cce890a,,,Stufe 1,Stufe 1
3,a40b7c23-f7b7-4dda-b19c-0174091ff67c,14d1f4d5-de53-4864-a1f7-ad220a7f9140,2,e40ae897-eb74-49a1-8928-1e80686349b8,02-02,fab5a80b-92df-43e9-ac3a-b12ee3f4bf58,,,Stufe 2,Stufe 2
3,3eda9a60-cd59-485c-afae-dcf31fe66e90,14d1f4d5-de53-4864-a1f7-ad220a7f9140,2,a45191b7-b3db-4ad6-a651-a87f5169cce6,02-01,fab5a80b-92df-43e9-ac3a-b12ee3f4bf58,,,Stufe 2,Stufe 2
3,724e662b-6c03-4dfc-a5c1-91e6520b1b9f,e56fdc09-05c1-4184-902b-b2d476eb2683,7,1b5f05fb-a37a-40f2-9ce0-710e771bd8af,01-03,fab5a80b-92df-43e9-ac3a-b12ee3f4bf58,,,Stufe 2,Stufe 2
3,4843ec96-849f-4743-b41d-6d5d2c44e959,e56fdc09-05c1-4184-902b-b2d476eb2683,37,de495e3f-11db-4dfe-bbb3-7b29bb289b6b,01-02,fab5a80b-92df-43e9-ac3a-b12ee3f4bf58,,,Stufe 2,Stufe 2
3,ac6d7704-cad1-46d1-8a46-780039ff5e01,e56fdc09-05c1-4184-902b-b2d476eb2683,32,76b720cd-2fe0-4af0-b248-c9aefc0268f7,01-01,fab5a80b-92df-43e9-ac3a-b12ee3f4bf58,,,Stufe 2,Stufe 2
